"filename", "language", "Python", "Log", "Properties", "comment", "blank", "total"
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/autopilot.py", "Python", 19, 0, 0, 1, 5, 25
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/functions.py", "Python", 125, 0, 0, 6, 83, 214
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/guitest.py", "Python", 151, 0, 0, 21, 79, 251
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/main.py", "Python", 197, 0, 0, 12, 99, 308
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/results.log", "Log", 0, 769, 0, 0, 1, 770
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/test.py", "Python", 3, 0, 0, 0, 0, 3
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tk-0.1.0/setup.cfg", "Properties", 0, 0, 3, 0, 2, 5
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tk-0.1.0/setup.py", "Python", 25, 0, 0, 14, 2, 41
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tk-0.1.0/tk/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tk-0.1.0/tk/structure/Tensor.py", "Python", 59, 0, 0, 10, 30, 99
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tk-0.1.0/tk/structure/TensorMap.py", "Python", 47, 0, 0, 7, 23, 77
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tk-0.1.0/tk/structure/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tools/autodialer_dev.py", "Python", 119, 0, 0, 7, 42, 168
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tools/contact_transfer.py", "Python", 73, 0, 0, 9, 36, 118
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tools/dais_sequencer.py", "Python", 142, 0, 0, 12, 65, 219
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tools/outreach_sequencer_dev.py", "Python", 124, 0, 0, 11, 58, 193
"/Users/nigel.silvadallenbach/Documents/GitHub/AutoSDR/tools/outreach_sequencer_dev_functions.py", "Python", 126, 0, 0, 14, 59, 199
"Total", "-", 1210, 769, 3, 124, 586, 2692
